
Starting Nmap 6.40 ( http://nmap.org ) at 2022-10-27 10:53 CEST
Nmap scan report for 149.156.102.0
Nmap scan report for ipx1.gorn.agh.edu.pl (149.156.102.1)
Nmap scan report for pc1.gorn.agh.edu.pl (149.156.102.2)
Nmap scan report for projekt.ipbk.agh.edu.pl (149.156.102.3)
Nmap scan report for franik.gorn.agh.edu.pl (149.156.102.4)
Nmap scan report for utrata.gorn.agh.edu.pl (149.156.102.5)
Nmap scan report for firek.gorn.agh.edu.pl (149.156.102.6)
Nmap scan report for luczak.gorn.agh.edu.pl (149.156.102.7)
Nmap scan report for slosar.gorn.agh.edu.pl (149.156.102.8)
Nmap scan report for sek.gorn.agh.edu.pl (149.156.102.9)
Nmap scan report for bator.gorn.agh.edu.pl (149.156.102.10)
Nmap scan report for magda.gorn.agh.edu.pl (149.156.102.11)
Nmap scan report for cyrnek.gorn.agh.edu.pl (149.156.102.12)
Nmap scan report for snopko.gorn.agh.edu.pl (149.156.102.13)
Nmap scan report for mieszan.gorn.agh.edu.pl (149.156.102.14)
Nmap scan report for kesek.gorn.agh.edu.pl (149.156.102.15)
Nmap scan report for august.gorn.agh.edu.pl (149.156.102.16)
Nmap scan report for FluentGambit.gorn.agh.edu.pl (149.156.102.17)
Nmap scan report for jawien.gorn.agh.edu.pl (149.156.102.18)
Nmap scan report for 149.156.102.19
Nmap scan report for zdproj.gorn.agh.edu.pl (149.156.102.20)
Nmap scan report for proj01.gorn.agh.edu.pl (149.156.102.21)
Nmap scan report for proj02.gorn.agh.edu.pl (149.156.102.22)
Nmap scan report for proj03.gorn.agh.edu.pl (149.156.102.23)
Nmap scan report for proj04.gorn.agh.edu.pl (149.156.102.24)
Nmap scan report for proj05.gorn.agh.edu.pl (149.156.102.25)
Nmap scan report for proj06.gorn.agh.edu.pl (149.156.102.26)
Nmap scan report for proj07.gorn.agh.edu.pl (149.156.102.27)
Nmap scan report for proj08.gorn.agh.edu.pl (149.156.102.28)
Nmap scan report for proj09.gorn.agh.edu.pl (149.156.102.29)
Nmap scan report for proj10.gorn.agh.edu.pl (149.156.102.30)
Nmap scan report for proj11.gorn.agh.edu.pl (149.156.102.31)
Nmap scan report for proj12.gorn.agh.edu.pl (149.156.102.32)
Nmap scan report for proj13.gorn.agh.edu.pl (149.156.102.33)
Nmap scan report for proj14.gorn.agh.edu.pl (149.156.102.34)
Nmap scan report for proj15.gorn.agh.edu.pl (149.156.102.35)
Nmap scan report for bkowal.gorn.agh.edu.pl (149.156.102.36)
Nmap scan report for r01.gorn.agh.edu.pl (149.156.102.37)
Nmap scan report for r02.gorn.agh.edu.pl (149.156.102.38)
Nmap scan report for pbogacz.gorn.agh.edu.pl (149.156.102.39)
Nmap scan report for stawiarz.gorn.agh.edu.pl (149.156.102.40)
Nmap scan report for sylwia.gorn.agh.edu.pl (149.156.102.41)
Nmap scan report for waclawski.gorn.agh.edu.pl (149.156.102.42)
Nmap scan report for 149.156.102.43
Nmap scan report for banas.gorn.agh.edu.pl (149.156.102.44)
Nmap scan report for wozny.gorn.agh.edu.pl (149.156.102.45)
Nmap scan report for bb.gorn.agh.edu.pl (149.156.102.46)
Nmap scan report for jaskow.gorn.agh.edu.pl (149.156.102.47)
Nmap scan report for sucheta.gorn.agh.edu.pl (149.156.102.48)
Nmap scan report for grodowska.gorn.agh.edu.pl (149.156.102.49)
Nmap scan report for kajtek17.gorn.agh.edu.pl (149.156.102.50)
Nmap scan report for tora.gorn.agh.edu.pl (149.156.102.51)
Nmap scan report for kordek.gorn.agh.edu.pl (149.156.102.52)
Nmap scan report for tajchman.gorn.agh.edu.pl (149.156.102.53)
Nmap scan report for klys.gorn.agh.edu.pl (149.156.102.54)
Nmap scan report for michalec.gorn.agh.edu.pl (149.156.102.55)
Nmap scan report for mackalo.gorn.agh.edu.pl (149.156.102.56)
Nmap scan report for wmaczka.gorn.agh.edu.pl (149.156.102.57)
Nmap scan report for kinasz.gorn.agh.edu.pl (149.156.102.58)
Nmap scan report for tumidaj.gorn.agh.edu.pl (149.156.102.59)
Nmap scan report for pks1.gorn.agh.edu.pl (149.156.102.60)
Nmap scan report for PKS2.gorn.agh.edu.pl (149.156.102.61)
Nmap scan report for PKS3.gorn.agh.edu.pl (149.156.102.62)
Nmap scan report for PKS4.gorn.agh.edu.pl (149.156.102.63)
Nmap scan report for pks5.gorn.agh.edu.pl (149.156.102.64)
Nmap scan report for PKS6.gorn.agh.edu.pl (149.156.102.65)
Nmap scan report for brozek.gorn.agh.edu.pl (149.156.102.66)
Nmap scan report for obrozek.gorn.agh.edu.pl (149.156.102.67)
Nmap scan report for rranosz.gorn.agh.edu.pl (149.156.102.68)
Nmap scan report for jmk.gorn.agh.edu.pl (149.156.102.69)
Nmap scan report for foszcz.gorn.agh.edu.pl (149.156.102.70)
Nmap scan report for garfield.gorn.agh.edu.pl (149.156.102.71)
Nmap scan report for mts01.gorn.agh.edu.pl (149.156.102.72)
Nmap scan report for kgg26.gorn.agh.edu.pl (149.156.102.73)
Nmap scan report for tango.gorn.agh.edu.pl (149.156.102.74)
Nmap scan report for kgg1.gorn.agh.edu.pl (149.156.102.75)
Nmap scan report for kgg2.gorn.agh.edu.pl (149.156.102.76)
Nmap scan report for kgg3.gorn.agh.edu.pl (149.156.102.77)
Nmap scan report for kgg4.gorn.agh.edu.pl (149.156.102.78)
Nmap scan report for KGG5.gorn.agh.edu.pl (149.156.102.79)
Nmap scan report for KGG6.gorn.agh.edu.pl (149.156.102.80)
Nmap scan report for KGG7.gorn.agh.edu.pl (149.156.102.81)
Nmap scan report for kgg8.gorn.agh.edu.pl (149.156.102.82)
Nmap scan report for kgg9.gorn.agh.edu.pl (149.156.102.83)
Nmap scan report for kgg10.gorn.agh.edu.pl (149.156.102.84)
Nmap scan report for kgg11.gorn.agh.edu.pl (149.156.102.85)
Nmap scan report for halat.gorn.agh.edu.pl (149.156.102.86)
Nmap scan report for kgg13.gorn.agh.edu.pl (149.156.102.87)
Nmap scan report for KGG14.gorn.agh.edu.pl (149.156.102.88)
Nmap scan report for kgg15.gorn.agh.edu.pl (149.156.102.89)
Nmap scan report for SIGMA.gorn.agh.edu.pl (149.156.102.90)
Nmap scan report for lbws01.gorn.agh.edu.pl (149.156.102.91)
Nmap scan report for lbws02.gorn.agh.edu.pl (149.156.102.92)
Nmap scan report for lbws03.gorn.agh.edu.pl (149.156.102.93)
Nmap scan report for lbws04.gorn.agh.edu.pl (149.156.102.94)
Nmap scan report for jednacz.gorn.agh.edu.pl (149.156.102.95)
Nmap scan report for pawlus.gorn.agh.edu.pl (149.156.102.96)
Nmap scan report for olesiak.gorn.agh.edu.pl (149.156.102.97)
Nmap scan report for jk.gorn.agh.edu.pl (149.156.102.98)
Nmap scan report for ucirtr.agh.edu.pl (149.156.102.99)
Nmap scan report for skarbek1.gorn.agh.edu.pl (149.156.102.100)
Nmap scan report for wentyl.gorn.agh.edu.pl (149.156.102.101)
Nmap scan report for ptychol.gorn.agh.edu.pl (149.156.102.102)
