
Starting Nmap 6.40 ( http://nmap.org ) at 2022-10-27 10:56 CEST
Nmap scan report for 149.156.103.0
Nmap scan report for 149.156.103.1
Nmap scan report for dou9.adm.agh.edu.pl (149.156.103.2)
Nmap scan report for 149.156.103.3
Nmap scan report for 149.156.103.4
Nmap scan report for 149.156.103.5
Nmap scan report for 149.156.103.6
Nmap scan report for 149.156.103.7
Nmap scan report for 149.156.103.8
Nmap scan report for 149.156.103.9
Nmap scan report for dziek.mn.agh.edu.pl (149.156.103.10)
Nmap scan report for syrius.mn.agh.edu.pl (149.156.103.11)
Nmap scan report for stopy-mn.mn.agh.edu.pl (149.156.103.12)
Nmap scan report for vena.mn.agh.edu.pl (149.156.103.13)
Nmap scan report for kpw75vmr.mn.agh.edu.pl (149.156.103.14)
Nmap scan report for sala101.mn.agh.edu.pl (149.156.103.15)
Nmap scan report for rekrutacja1.mn.agh.edu.pl (149.156.103.16)
Nmap scan report for gbl.mn.agh.edu.pl (149.156.103.17)
Nmap scan report for chemfiz1.mn.agh.edu.pl (149.156.103.18)
Nmap scan report for cuprum.mn.agh.edu.pl (149.156.103.19)
Nmap scan report for kppmmn1.mn.agh.edu.pl (149.156.103.20)
Nmap scan report for ad.mn.agh.edu.pl (149.156.103.21)
Nmap scan report for maja.mn.agh.edu.pl (149.156.103.22)
Nmap scan report for chemfiz2.mn.agh.edu.pl (149.156.103.23)
Nmap scan report for cynk.mn.agh.edu.pl (149.156.103.24)
Nmap scan report for walec.mn.agh.edu.pl (149.156.103.25)
Nmap scan report for ankorbel.mn.agh.edu.pl (149.156.103.26)
Nmap scan report for walec2.mn.agh.edu.pl (149.156.103.27)
Nmap scan report for zas104.mn.agh.edu.pl (149.156.103.28)
Nmap scan report for robik.mn.agh.edu.pl (149.156.103.29)
Nmap scan report for alu-lab1.mn.agh.edu.pl (149.156.103.30)
Nmap scan report for ilona.mn.agh.edu.pl (149.156.103.31)
Nmap scan report for kobo.mn.agh.edu.pl (149.156.103.32)
Nmap scan report for totek.mn.agh.edu.pl (149.156.103.33)
Nmap scan report for marzena.mn.agh.edu.pl (149.156.103.34)
Nmap scan report for osuch.mn.agh.edu.pl (149.156.103.35)
Nmap scan report for ada.mn.agh.edu.pl (149.156.103.36)
Nmap scan report for max.mn.agh.edu.pl (149.156.103.37)
Nmap scan report for bolek.mn.agh.edu.pl (149.156.103.38)
Nmap scan report for twin.mn.agh.edu.pl (149.156.103.39)
Nmap scan report for p106-a2.mn.agh.edu.pl (149.156.103.40)
Nmap scan report for zasmob.mn.agh.edu.pl (149.156.103.41)
Nmap scan report for kama583.mn.agh.edu.pl (149.156.103.42)
Nmap scan report for fil.mn.agh.edu.pl (149.156.103.43)
Nmap scan report for beta.mn.agh.edu.pl (149.156.103.44)
Nmap scan report for lab223.mn.agh.edu.pl (149.156.103.45)
Nmap scan report for p219.mn.agh.edu.pl (149.156.103.46)
Nmap scan report for nowakows.mn.agh.edu.pl (149.156.103.47)
Nmap scan report for henryk.mn.agh.edu.pl (149.156.103.48)
Nmap scan report for rtg-307.mn.agh.edu.pl (149.156.103.49)
Nmap scan report for n-ferro.mn.agh.edu.pl (149.156.103.50)
Nmap scan report for gosia.mn.agh.edu.pl (149.156.103.51)
Nmap scan report for n-ferro2.mn.agh.edu.pl (149.156.103.52)
Nmap scan report for kusto.mn.agh.edu.pl (149.156.103.53)
Nmap scan report for janosik.mn.agh.edu.pl (149.156.103.54)
Nmap scan report for tem.mn.agh.edu.pl (149.156.103.55)
Nmap scan report for p107.mn.agh.edu.pl (149.156.103.56)
Nmap scan report for zaoczmn.mn.agh.edu.pl (149.156.103.57)
Nmap scan report for robercik.mn.agh.edu.pl (149.156.103.58)
Nmap scan report for kawon.mn.agh.edu.pl (149.156.103.59)
Nmap scan report for wycisk.mn.agh.edu.pl (149.156.103.60)
Nmap scan report for kaski-pc.mn.agh.edu.pl (149.156.103.61)
Nmap scan report for ania.mn.agh.edu.pl (149.156.103.62)
Nmap scan report for pantek.mn.agh.edu.pl (149.156.103.63)
Nmap scan report for blu.mn.agh.edu.pl (149.156.103.64)
Nmap scan report for kristo.mn.agh.edu.pl (149.156.103.65)
Nmap scan report for szafir.mn.agh.edu.pl (149.156.103.66)
Nmap scan report for wlodek.mn.agh.edu.pl (149.156.103.67)
Nmap scan report for ola.mn.agh.edu.pl (149.156.103.68)
Nmap scan report for justyna.mn.agh.edu.pl (149.156.103.69)
Nmap scan report for neon.mn.agh.edu.pl (149.156.103.70)
Nmap scan report for magdzia.mn.agh.edu.pl (149.156.103.71)
Nmap scan report for azur.mn.agh.edu.pl (149.156.103.72)
Nmap scan report for agnes.mn.agh.edu.pl (149.156.103.73)
Nmap scan report for ewaru.mn.agh.edu.pl (149.156.103.74)
Nmap scan report for mes1.mn.agh.edu.pl (149.156.103.75)
Nmap scan report for mes2.mn.agh.edu.pl (149.156.103.76)
Nmap scan report for mes3.mn.agh.edu.pl (149.156.103.77)
Nmap scan report for scanning.mn.agh.edu.pl (149.156.103.78)
Nmap scan report for mes5.mn.agh.edu.pl (149.156.103.79)
Nmap scan report for mes6.mn.agh.edu.pl (149.156.103.80)
Nmap scan report for mes7.mn.agh.edu.pl (149.156.103.81)
Nmap scan report for mes8.mn.agh.edu.pl (149.156.103.82)
Nmap scan report for smoku.mn.agh.edu.pl (149.156.103.83)
Nmap scan report for ela.mn.agh.edu.pl (149.156.103.84)
Nmap scan report for piotr.mn.agh.edu.pl (149.156.103.85)
Nmap scan report for kobo.mn.agh.edu.pl (149.156.103.86)
Nmap scan report for red.mn.agh.edu.pl (149.156.103.87)
Nmap scan report for ostoja.mn.agh.edu.pl (149.156.103.88)
Nmap scan report for black.mn.agh.edu.pl (149.156.103.89)
Nmap scan report for korozja.mn.agh.edu.pl (149.156.103.90)
Nmap scan report for anna.mn.agh.edu.pl (149.156.103.91)
Nmap scan report for jokaba.mn.agh.edu.pl (149.156.103.92)
Nmap scan report for kumpel.mn.agh.edu.pl (149.156.103.93)
Nmap scan report for dou5.adm.agh.edu.pl (149.156.103.94)
Nmap scan report for dou6.adm.agh.edu.pl (149.156.103.95)
Nmap scan report for nano.mn.agh.edu.pl (149.156.103.96)
Nmap scan report for mikro2.mn.agh.edu.pl (149.156.103.97)
Nmap scan report for dybiec.mn.agh.edu.pl (149.156.103.98)
Nmap scan report for dou2.adm.agh.edu.pl (149.156.103.99)
Nmap scan report for servis0.mn.agh.edu.pl (149.156.103.100)
Nmap scan report for servis1.mn.agh.edu.pl (149.156.103.101)
Nmap scan report for servis2.mn.agh.edu.pl (149.156.103.102)
Nmap scan report for servis3.mn.agh.edu.pl (149.156.103.103)
Nmap scan report for servis4.mn.agh.edu.pl (149.156.103.104)
Nmap scan report for servis5.mn.agh.edu.pl (149.156.103.105)
Nmap scan report for lbpr1.mn.agh.edu.pl (149.156.103.106)
Nmap scan report for lbpr2.mn.agh.edu.pl (149.156.103.107)
Nmap scan report for smyrak.mn.agh.edu.pl (149.156.103.108)
Nmap scan report for beata.mn.agh.edu.pl (149.156.103.109)
Nmap scan report for kwas.mn.agh.edu.pl (149.156.103.110)
Nmap scan report for tumida.mn.agh.edu.pl (149.156.103.111)
Nmap scan report for toudi.mn.agh.edu.pl (149.156.103.112)
Nmap scan report for pent3.mn.agh.edu.pl (149.156.103.113)
